sequence_id	membership_class	population	exact_sequence_present	best_hit_target	best_hit_identity	best_hit_query_coverage	best_hit_target_coverage	best_hit_evalue	leakage_class	population_role	unit	denominator
RETRON_t1143	ANCHOR	toro742	NO	Afid|124741923|locus|VBIBraOli259415_1160|_extraction	0.3860	0.1380	0.0460	3.83e-10	REMOTE_GE_30	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t808	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t1100	ANCHOR	toro742	NO	Afid|58718285|locus|VBIMicAer161757_1975|_extraction	0.3070	0.2260	0.1110	1.02e-14	REMOTE_GE_30	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t400	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t1195	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t1190	ANCHOR	toro742	NO	Afid|58718285|locus|VBIMicAer161757_1975|_extraction	0.2770	0.2650	0.1020	2.79e-05	DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t1163	ANCHOR	toro742	NO	Afid|124741923|locus|VBIBraOli259415_1160|_extraction	0.2420	0.2270	0.0720	1.65e-06	DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t812	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
UNIPROT_P0DV89	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t1049	ANCHOR	toro742	NO	Afid|58718285|locus|VBIMicAer161757_1975|_extraction	0.3370	0.2530	0.1130	1.24e-16	REMOTE_GE_30	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t208	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t803	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t824	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t257	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t953	ANCHOR	toro742	NO	Afid|58718285|locus|VBIMicAer161757_1975|_extraction	0.3170	0.2380	0.1100	4.09e-17	REMOTE_GE_30	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t290	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
UNIPROT_P71276	ANCHOR	toro742	NO	Gfid|180089752|locus|VBIEscCol233378_0214|_extraction	0.3720	0.1590	0.1150	6.33e-08	REMOTE_GE_30	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t1732	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t1710	ANCHOR	toro742	NO	Afid|22548316|locus|VBIMetNod76414_3882|_extraction	0.4530	0.0980	0.0430	6.09e-06	REMOTE_GE_30	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t1673	ANCHOR	toro742	NO	Afid|22548316|locus|VBIMetNod76414_3882|_extraction	0.4210	0.1200	0.0430	2.99e-04	REMOTE_GE_30	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t1928	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t1894	ANCHOR	toro742	NO	Actinobacteriafid|191810597|locus|VBIGorPol218398_4913|_extraction	0.6440	0.0850	0.0310	1.01e-09	MODERATE_GE_50	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t161	ANCHOR	toro742	NO	Bfid|19085378|locus|VBIBurCen118154_6802|_extraction	0.5860	0.0850	0.0310	1.12e-09	MODERATE_GE_50	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t1703	ANCHOR	toro742	NO	Afid|22548316|locus|VBIMetNod76414_3882|_extraction	0.5500	0.0560	0.0260	3.31e-04	MODERATE_GE_50	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t1687	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t1323	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t1374	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t1352	ANCHOR	toro742	NO	Gfid|182722260|locus|VBIEscCol236749_3924|_extraction	0.8330	0.0810	0.0250	1.14e-10	HIGH_IDENTITY_GE_70	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t1353	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t1421	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t1609	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t1391	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t1294	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t1422	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
RETRON_t749	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
UNIPROT_P0DV94	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
PDB_9YFD_1	ANCHOR	toro742	NO	Gfid|115183372|locus|VBISerMar265383_1286|_extraction	0.2840	0.4130	0.9170	4.85e-97	DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
PDB_9WY8_1	ANCHOR	toro742	NO	Afid|115125822|locus|VBISinMel272116_2443|_extraction	0.2740	0.0930	0.0890	3.73e-10	DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
PDB_24NC_1	ANCHOR	toro742	NO	Afid|115125822|locus|VBISinMel272116_2443|_extraction	0.2320	0.1560	0.0850	5.40e-04	DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
PDB_9LJE_1	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
PDB_8BGJ_1	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
PDB_9IOA_2	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
PDB_9Z6Z_1	ANCHOR	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
PDB_26CZ_1	ANCHOR	toro742	NO	YP_001005498.1_extraction_extraction	0.3800	0.1730	0.1680	1.98e-33	REMOTE_GE_30	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
PDB_9Z6Z_2	ANCHOR	toro742	NO	YP_049164.1_extraction_extraction	0.3070	0.1420	0.0870	1.15e-09	REMOTE_GE_30	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_AbiK_16	CANDIDATE	toro742	NO	YP_049164.1_extraction_extraction	0.2860	0.1970	0.1740	7.05e-13	DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_AbiK_31	CANDIDATE	toro742	NO	YP_049164.1_extraction_extraction	0.2680	0.1440	0.0940	1.76e-04	DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_AbiK_51	CANDIDATE	toro742	NO	ABS14022.1_extraction_extraction	0.2980	0.1350	0.0850	3.31e-05	DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_AbiK_98	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_AbiP2_108	CANDIDATE	toro742	NO	Afid|115125822|locus|VBISinMel272116_2443|_extraction	0.2970	0.0820	0.0320	4.42e-04	DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_AbiP2_172	CANDIDATE	toro742	NO	CAJ43157.1_extraction_extraction	0.3850	0.1540	0.1100	2.34e-11	REMOTE_GE_30	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_AbiP2_208	CANDIDATE	toro742	NO	ZP_01918051.1_extraction_extraction	0.4470	0.1040	0.0520	1.37e-08	REMOTE_GE_30	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_AbiP2_270	CANDIDATE	toro742	NO	YP_670592.1_extraction_extraction	0.4660	0.1220	0.0700	2.03e-10	REMOTE_GE_30	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_AbiP2_81	CANDIDATE	toro742	NO	Afid|115125822|locus|VBISinMel272116_2443|_extraction	0.3670	0.0780	0.0330	3.89e-05	REMOTE_GE_30	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_CRISPR_33	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_CRISPR_47	CANDIDATE	toro742	NO	Bacteroidetesfid|87117093|locus|VBIAliFin145170_0906|_extraction	0.7820	0.0460	0.0160	4.01e-05	HIGH_IDENTITY_GE_70	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_CRISPR_58	CANDIDATE	toro742	NO	Bfid|35398478|locus|VBISidLit69165_0197|_extraction	0.2830	0.2700	0.3040	1.17e-12	DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_CRISPR_62	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_DGRs_11	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_DGRs_4	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_DGRs_6	CANDIDATE	toro742	NO	Bacteroidetesfid|42754073|locus|VBIBacXyl109951_4388|_extraction	0.3220	0.0720	0.0400	8.75e-04	REMOTE_GE_30	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_DGRs_9	CANDIDATE	toro742	NO	clostridiafid|42787653|locus|VBIButBac106850_0529|_extraction	0.6060	0.0700	0.0230	4.42e-05	MODERATE_GE_50	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_G2L4_1	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_G2L4_4	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_G2L4_5	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_G2L4_68	CANDIDATE	toro742	NO	YP_277063.1_extraction	0.4000	0.0830	0.0410	7.54e-05	REMOTE_GE_30	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_G2L_57	CANDIDATE	toro742	NO	Gfid|161894677|locus|VBIManHae297097_0336|_extraction	0.2690	0.4330	0.3030	1.12e-09	DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_G2L_87	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG10_12	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG10_26	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG11_61	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG11_70	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG12_12	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG12_147	CANDIDATE	toro742	NO	clostridiafid|42787653|locus|VBIButBac106850_0529|_extraction	0.5750	0.0540	0.0230	6.72e-04	MODERATE_GE_50	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG12_21	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG12_230	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG12_3	CANDIDATE	toro742	NO	DEfid|184283092|locus|VBIHelPyl300427_0117|_extraction	0.3690	0.1910	0.2490	2.71e-39	REMOTE_GE_30	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG12_37	CANDIDATE	toro742	NO	Afid|115125822|locus|VBISinMel272116_2443|_extraction	0.2920	0.1450	0.0890	4.02e-12	DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG13_0	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG13_16	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG13_30	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG14_43	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG15_123	CANDIDATE	toro742	NO	Afid|115125822|locus|VBISinMel272116_2443|_extraction	0.2200	0.1660	0.0870	1.10e-06	DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG15_31	CANDIDATE	toro742	NO	EAY38911.1_extraction_extraction	0.4240	0.1060	0.0500	1.48e-08	REMOTE_GE_30	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG15_42	CANDIDATE	toro742	NO	ZP_01841658.1_extraction_extraction	0.3580	0.1150	0.0550	6.01e-05	REMOTE_GE_30	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG15_65	CANDIDATE	toro742	NO	DEfid|184283092|locus|VBIHelPyl300427_0117|_extraction	0.5120	0.0770	0.0280	1.18e-06	MODERATE_GE_50	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG15_74	CANDIDATE	toro742	NO	Afid|115125822|locus|VBISinMel272116_2443|_extraction	0.2530	0.1650	0.0890	7.23e-08	DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG16_41	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG16_60	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG16_91	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG17_254	CANDIDATE	toro742	NO	Gfid|186514316|locus|VBIPseSp174409_5710|_extraction	0.8070	0.0540	0.0180	2.55e-07	HIGH_IDENTITY_GE_70	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG17_289	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG17_32	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG18_36	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG18_58	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG19_156	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG19_20	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG19_229	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG1_12	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG1_3	CANDIDATE	toro742	NO	Afid|20797198|locus|VBIAgrRad129173_0726|_extraction	0.3100	0.0600	0.0790	5.59e-06	REMOTE_GE_30	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG1_8	CANDIDATE	toro742	NO	Afid|20797198|locus|VBIAgrRad129173_0726|_extraction	0.3180	0.0680	0.0790	9.08e-07	REMOTE_GE_30	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG20_0	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG20_1	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG20_2	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG21_13	CANDIDATE	toro742	NO	YP_276337.1_extraction_extraction	0.2580	0.2620	0.2880	2.88e-18	DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG21_25	CANDIDATE	toro742	NO	ZP_01587199.1_extraction_extraction	0.3000	0.2950	0.3140	4.74e-31	REMOTE_GE_30	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG22_1	CANDIDATE	toro742	NO	S.ma.I1/BX664015/172056..173964/Serratia_extraction	0.2950	0.1740	0.3280	3.78e-06	DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG22_14	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG22_46	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG23_4	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG24_10	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG25_185	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG25_34	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG26_78	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG26_86	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG28_6	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG28b_1	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG2_112	CANDIDATE	toro742	NO	YP_001171247.1_extraction_extraction	0.3300	0.4800	0.3670	1.15e-29	REMOTE_GE_30	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG2_75	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG2_80	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG2_83	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG3_32	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG3_72	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
CAND_UG4_11	CANDIDATE	toro742	NO	NO_HIT					DISTANT_OR_NO_HIT	published comparator; read ONLY to measure overlap, never to define	old-seed sequence vs one population	167 seed sequences vs 742 in toro742
