evidence_id	region	object_named_in_source	evidence_class	source_citation	pmid	pmcid	doi	retrieval_status	locator	verbatim_quote	protein_studied	numbering_system	residues_stated	what_it_shows	what_it_does_not_show	cached_text_sha256
S-06	NA_CONTACT	thumb domain	FUNCTIONAL	Structural mechanism of the Retron-Eco7 anti-phage defense system. Nat Commun 2025;16:66589.	41330933	PMC12673091	10.1038/s41467-025-66589-9	FULL_TEXT	Results, RT-msDNA interactions and spot assays	The thumb domain deletion (Δ235–313) also abolished the activity (Fig. 2h ), indicating the functional importance of the interaction between the thumb domain and the msrRNA stem loop 2.	RT of Retron-Eco7	Retron-Eco7 RT own numbering	thumb deletion 235-313	Modern residue-numbered deletion of the C-terminal (thumb / region-Y-equivalent) segment abolishes retron function in vivo - the closest current analogue of the 1999 region Y deletion, in a third retron	Readout is phage-defence activity, not msr-binding specificity; no swap between retrons; the paper does not use 'region Y'	8853f3bb378b007afa949853c0ef79809d408bcb313ae28ed0cccc7e81eb16bb
S-07	BOTH	(absent)	STRUCTURAL	Structural mechanism of the Retron-Eco7 anti-phage defense system. Nat Commun 2025;16:66589.	41330933	PMC12673091	10.1038/s41467-025-66589-9	FULL_TEXT	whole full text (searched for 'region X', 'region Y', 'NAxxH', 'NAXXH', 'VTG')		Retron-Eco7	n/a	none	no statement found in full text: searched the Europe PMC full text for 'region X', 'region Y', 'NAxxH', 'NAXXH' and 'VTG' - zero hits; the paper describes the same protein region only as the thumb domain	n/a	8853f3bb378b007afa949853c0ef79809d408bcb313ae28ed0cccc7e81eb16bb
S-08	BOTH	NAXXH and VTG	MOTIF	Structural basis of antiphage defence by an ATPase-associated reverse transcriptase. Nat Commun 2025;16:63285. [retron type I-A; PDB 9N69]	41006229	PMC12475279	10.1038/s41467-025-63285-6	FULL_TEXT	Introduction	Retrons are diverse (i.e., 13 types and several subtypes), but all retrons consist of an RT with two distinguishing sequence motifs (NAXXH and VTG), and a non-coding RNA (ncRNA) containing an inverted repeat and an invariant guanosine that acts as a primer for branched DNA synthesis 5 , 15 , 16 .	retrons generally	n/a	none	Current structural literature treats NAXXH + VTG as THE defining retron RT sequence motifs	'all retrons' is asserted, not measured here; no denominator	a53c43621a75641fcf1eb6d5293d04436507d234368928e42e8e0b6f0edad985
S-09	Y	VTG motif	STRUCTURAL	Structural basis of antiphage defence by an ATPase-associated reverse transcriptase. Nat Commun 2025;16:63285.	41006229	PMC12475279	10.1038/s41467-025-63285-6	FULL_TEXT	Fig. 2 legend / Results	The magnified region highlights the conserved VTG motif, which is predicted to make contacts with the DNA backbone, positioning the priming guanosine (G8, yellow) and adenosine 7 (A7, purple) near the active site (YADD, pink).	retron I-A RT (E. coli)	ncRNA nucleotide numbering	G8 (priming guanosine), A7	VTG is placed next to the priming guanosine and the active site - a catalytic/priming role, in an AlphaFold3 PREDICTION corroborated by the experimental structure's thumb-SL1 contacts	This particular VTG-DNA-backbone contact is predicted, not observed; no link to msr choice/specificity	a53c43621a75641fcf1eb6d5293d04436507d234368928e42e8e0b6f0edad985
S-10	BOTH	YADD, NAXXH, VTG motifs	STRUCTURAL	Structural basis of the RNA-mediated Retron-Eco2 oligomerization. Cell Discov 2025;11:823.	40897710	PMC12405507	10.1038/s41421-025-00823-y	FULL_TEXT	Results, comparison of Eco1 and Eco2 RTs	Analysis of Eco1 and Eco2 RTs structures reveals conserved YADD, NAXXH, VTG motifs and a similar arrangement of key residues (Supplementary Fig. S6a, b ).	RT-Eco1 (Ec86) and RT-Eco2 (Ec67)	n/a in this sentence	none in this sentence	NAXXH and VTG are structurally conserved between two retron RT types	No residue numbers here; no functional test of either motif	c152aeafd595f88f1c01b09f1fec8b545efbb0b7daa551f8fa1e85643aff2a84
S-11	NA_CONTACT	thumb subdomain	STRUCTURAL	Structural basis of the RNA-mediated Retron-Eco2 oligomerization. Cell Discov 2025;11:823.	40897710	PMC12405507	10.1038/s41421-025-00823-y	FULL_TEXT	Results, RT-msrRNA interactions	The RSL region makes extensive contacts with the RT A palm subdomain, as well as with Q329/R264 in RT A thumb subdomain and RT B thumb subdomain (Supplementary Fig. S5c, d ). Although the Eco2 RSL loop sequence (rA30-rA31-rU32) differs from the loop in Eco1 (rU52-rU53-rU54), they share a similar conformation. In Eco2, rA30 and rU32 (Eco1 counterparts rU52 and rU54) flip outwards, while rA31 (Eco1 counterpart rU53) base-stacks with rG29 (Eco1 counterpart rG51) and aromatic residue H281 (Eco1 counterpart H268). These suggest that an aromatic residue (a conserved histidine) in the thumb subdomain facilitates the stabilization of the msrRNA loop.	RT-Eco2 (Ec67) compared with RT-Eco1 (Ec86)	each RT's own numbering	Eco2 Q329, R264, S253, H281; Eco1 counterpart H268	Cross-retron conservation of a thumb histidine contacting the msr recognition stem-loop (Eco2 H281 / Eco1 H268) - structural support that the C-terminal/thumb element engages the msr loop in more than one retron	Does not test specificity/pairing; does not use 'region Y'	c152aeafd595f88f1c01b09f1fec8b545efbb0b7daa551f8fa1e85643aff2a84
S-12	NA_CONTACT	RSLb / RT thumb domain	STRUCTURAL	Phage SSB detection by retron Eco8 msDNA unleashes nuclease-mediated immunity. Mol Cell 2025;85. [PDB 9P4J, 9P4K]	41172989	PMC13210406	10.1016/j.molcel.2025.10.007	FULL_TEXT	Results, msDNA-RT architecture	Interestingly, RSLb in Eco8 adopts an inverted orientation compared to that in Eco1 and Eco4 ( Figure S3B ). Despite this inversion, all four systems display a conserved interaction mode between RSLb and the RT thumb domain, indicating a shared regulatory mechanism for reverse transcription 13 , 18 , 23	RT of retron Eco8, compared with Eco1, Eco4 and one further system	n/a	none	Across four retron systems the msr recognition stem-loop contacts the RT thumb in a conserved mode - the broadest current structural support for C-terminal/thumb-mediated msr engagement beyond the Ec86/Ec73 pair	Conserved binding MODE is not evidence that thumb/region Y sequence determines WHICH msr a given RT accepts; no cross-pairing test	bafeca3093ffe4ec7750b89899f95c35a418121edb8bb0494801af0c48b4f6b5
S-13	NA_CONTACT	thumb domain	STRUCTURAL	Disassembly activates Retron-Septu for antiphage defense. Science 2025;389:adv3344. [retron Ec83; PDB 9E8Z]	40504952	PMC12240667	10.1126/science.adv3344	FULL_TEXT	Results, msDNA-RT interactions	The RSLb of the msrRNA docks onto one side of the Ec83 RT thumb domain, while other parts of the msrRNA occupy the central cleft of RT, with the 3′ end ssRc segment packing against the opposite side of the thumb domain. The RNA-DNA duplex is buried within the cleft between the palm and thumb domains ( Fig. 2D and fig. S4D ).	Ec83 RT	Ec83 RT own numbering (YADD 183-186 given elsewhere in the paper)	none for the thumb contact	Third/fourth independent retron structure placing the msr recognition stem-loop on the thumb	No region X/Y terminology anywhere in this full text (searched 'region X', 'region Y', 'NAxxH', 'NAXXH', 'VTG' - zero hits); no specificity test	ed4ea206154cdfa25c43f06b9438e48a648cd6f75ee6b22f59bc597273652c6c
S-14	NA_CONTACT	RT thumb domain	STRUCTURAL	Architecture and mechanism of a dual-enzyme retron system in prokaryotic immunity. Nat Commun 2025;16:67175. [retron Ec78]	41354673	PMC12804668	10.1038/s41467-025-67175-9	FULL_TEXT	Results, structure of Ec78 retron	The msrRNA contains two stem-loop regions, RSLa (14–27 nt) and RSLb (28–48 nt) (Fig. 3a ). Only RSLb is resolved in the cryo-EM density, wrapping around the RT thumb domain (Fig. 3b ).	Ec78 RT (311 aa)	msrRNA nucleotide numbering	RSLa nt 14-27, RSLb nt 28-48	Ec78: only the msr recognition stem-loop RSLb is ordered, wrapped around the RT thumb	No region X/Y or NAxxH/VTG statement in this full text (searched; zero hits)	9907cb96914a252477cd4911846b3d92643864e92f1f277b178d83be9b6cfe64
S-15	NA_CONTACT	thumb domain	STRUCTURAL	Mechanistic insights into activation of bacterial Retron-Eco8 immunity by phage protein SSB. Nat Commun 2026;17:74106. [PDB 9LBQ and related]	42270618	PMC13402713	10.1038/s41467-026-74106-9	FULL_TEXT	Results, structure of Retron-Eco8 RT	The RT can be subdivided into three domains: fingers (residues 1–100 and 115–167), palm (residues 101–114 and 168–269), and thumb (residues 270–374) domains (Fig. 2a, b ).	Retron-Eco8 RT	Eco8 RT own numbering	thumb 270-374	Residue-numbered thumb boundary in a further retron RT (the C-terminal element that region Y nominally names)	Full text contains no 'region X'/'region Y'/'NAxxH'/'VTG' statement (searched; zero hits)	e861a0dece99823535fa2bba47da2e694212637d6ef90a85b9b61d5b51432591
S-16	NA_CONTACT	thumb subdomain	STRUCTURAL	Structural basis of Retron-Eco8-mediated antiphage defense. Nucleic Acids Res 2026;gkag111.	41665008	PMC12887533	10.1093/nar/gkag111	FULL_TEXT	Results, structure of Retron-Eco8 RT	The RT of Retron–Eco8 adopts a canonical right-hand-like architecture—a hallmark of RTs—comprising three subdomains: fingers (residues 41–58), palm (residues 1–40 and 59–266), and thumb (residues 267–374) (Fig. 3A ).	Retron-Eco8 RT	Eco8 RT own numbering	thumb 267-374	Independent residue-numbered thumb boundary for Eco8 RT (267-374 vs 270-374 in the other Eco8 paper)	No region X/Y, NAxxH or VTG statement in this full text (searched; zero hits)	c689e983661f2b3fde3ceb2d96d2be7002e579406721b08726e4af75e848181b
S-17	BOTH	NAXXH and VTG triplet	MOTIF	Caigoy JC, et al. Genetic characterization of a novel retron element isolated from Vibrio mimicus. Microbiol Immunol 2025;69.	39558231	PMC11701397	10.1111/1348-0421.13181	FULL_TEXT	Results, RT-Vmi1 sequence analysis	Multiple amino acid sequence alignments also revealed that these RTs share several highly conserved domains in addition to the highly conserved catalytic tetrad YADD (residues 193–196), the retron‐specific region containing the NAXXH (residues 90–94) and VTG triplet (residues 244–246) that are present in all retron RTs (Figure 7 ) [ 43 , 44 ].	RT-Vmi1 (Vibrio mimicus retron) and related retron RTs	RT-Vmi1 own numbering	YADD 193-196; NAXXH 90-94; VTG 244-246	Residue-numbered NAXXH and VTG positions in a further, non-model retron RT; motif spacing (NAXXH ~90, VTG ~245 of ~320) matches Ec86	Assertion 'present in all retron RTs' is taken from reviews, not measured here	3d0575d9df803050a6ee1e686ad91360282375cb1a238c49008e43bd47e54710
S-18	BOTH	(absent)	STRUCTURAL	Structure and mechanism of antiphage retron Eco2. Nat Struct Mol Biol 2026. [PDB 9I2F, 9I2G, 9S1F]	41709047	PMC12916289	10.1038/s41594-026-01754-2	FULL_TEXT	whole Europe PMC full text		Retron Eco2 (Ec67) RT-TOPRIM	n/a	none	no statement found in full text: searched for 'region X', 'region Y', 'Region X', 'Region Y', 'NAxxH', 'NAXXH' and 'VTG' - zero hits; the C-terminal element is discussed only as the thumb/Thumb domain	n/a	bc3647a7f35e661395a2e4a827cbd9107a04f2fde396c5de9af30c1053f71ef9
S-19	BOTH	(absent)	STRUCTURAL	Structural basis for retron co-option of anti-phage ATPase-nuclease. Nat Struct Mol Biol 2026. [PDB 9NNB, 9NNH, 9NNK]	41174277	PMC12819146	10.1038/s41594-025-01702-6	FULL_TEXT	whole Europe PMC full text		Retron Ec78 RT	n/a	none	no statement found in full text: searched for 'region X', 'region Y', 'Region X', 'Region Y', 'NAxxH', 'NAXXH' and 'VTG' - zero hits; the C-terminal element is discussed only as the thumb/Thumb domain	n/a	18c223d35baaaaac1b2e0c681f4684ae39c563a3189a417f6d5a294a609399ec
S-20	BOTH	(absent)	STRUCTURAL	Structural insights into the assembly and function of Retron Ec78 PtuAB. Commun Biol 2026. [PDB 9VKZ]	42106568	PMC13376987	10.1038/s42003-026-10199-8	FULL_TEXT	whole Europe PMC full text		Retron Ec78 RT / PtuAB	n/a	none	no statement found in full text: searched for 'region X', 'region Y', 'Region X', 'Region Y', 'NAxxH', 'NAXXH' and 'VTG' - zero hits; the C-terminal element is discussed only as the thumb/Thumb domain	n/a	dad98451f15f1fd0a44ab7f333773c3a3e2d41cb3c6e54c297c1d78284daedcc
