evidence_id	element_name	mestre_terminal_id	rt_accession	evidence_tier	rt_ncrna_pairing_evidence	rtdna_production_xEco1	rtdna_sequence_determined	rtdna_len_nt	human_editing_xEco1	bacterial_editing_xEco1	phage_editing_xEco1	experimental_structure	rt_mutagenesis	ncrna_mutagenesis	swap_or_crossreactivity	orthogonality_exchange	rt_seq_local	ncrna_seq_local	exposure_class_vs_project	embed_folds_touched	rt_in_exact_rt_catalogue	exact_pair_in_PAIR_ELIG	independence_status	usable_as	source_paper	caveats
EXP-K032	Rko	terminal_1928	fig|1303689.4.peg.2934	X2_RTDNA_SEQUENCE_PLUS_FUNCTIONAL_ASSAY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)	2.505321343	YES	80	undetermined	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	SEQUENCE_NEAR_CORPUS	none	NO	NO	NOT_INDEPENDENT - near-sequence match in the corpus	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K033	Rer	terminal_1922	fig|1381122.3.peg.6103	X3_FUNCTIONAL_ASSAY_ONLY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)		NO	0	0.321273828	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	TRAIN_EXPOSED	train	YES	NO	NOT_INDEPENDENT - in the X1 train fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K034	Rco	terminal_1925	fig|1219012.3.peg.1705	X2_RTDNA_SEQUENCE_PLUS_FUNCTIONAL_ASSAY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)	0.057008498	YES	142	3.199395302	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	TRAIN_EXPOSED	train	YES	NO	NOT_INDEPENDENT - in the X1 train fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K035	Rsp	terminal_401	fig|1523429.3.peg.2936	X4_SYNTHESISED_AND_TESTED_OUTCOME_UNDETERMINED	CO_REPORTED_AND_TESTED_ONLY (no positive readout recorded locally)		NO	0	0	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	CATALOGUE_ONLY	none	YES	NO	NOT_INDEPENDENT - present in the RT catalogue/corpus, outside PAIR-ELIG	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K036	Rsp	terminal_1321	fig|1869214.4.peg.1848	X3_FUNCTIONAL_ASSAY_ONLY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)		NO	0	0.116270856	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	TRAIN_EXPOSED	train	YES	NO	NOT_INDEPENDENT - in the X1 train fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K037	Psp	terminal_703	fig|1975705.3.peg.898	X3_FUNCTIONAL_ASSAY_ONLY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)	0	NO	0	0.091032035	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	FULLY_EXTERNAL	none	NO	NO	EXTERNAL_BY_SEQUENCE (no exact or near match in any project population)	functional-endpoint external candidate (RT-DNA production / editing) - NOT a compatibility or orthogonality set	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K038	Psp	terminal_789	fig|1736574.3.peg.4024	X4_SYNTHESISED_AND_TESTED_OUTCOME_UNDETERMINED	CO_REPORTED_AND_TESTED_ONLY (no positive readout recorded locally)	0	NO	0	undetermined	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	CATALOGUE_ONLY	none	YES	NO	NOT_INDEPENDENT - present in the RT catalogue/corpus, outside PAIR-ELIG	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K039	Psp	terminal_1294	fig|2052957.3.peg.3497	X2_RTDNA_SEQUENCE_PLUS_FUNCTIONAL_ASSAY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)	0.273897479	YES	107	0.860971135	0.434257054	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	TRAIN_EXPOSED	train	YES	NO	NOT_INDEPENDENT - in the X1 train fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K040	Psy	terminal_796	WP_074815429.1	X2_RTDNA_SEQUENCE_PLUS_FUNCTIONAL_ASSAY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)	0	YES	65	0.627662782	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	CATALOGUE_ONLY	none	YES	NO	NOT_INDEPENDENT - present in the RT catalogue/corpus, outside PAIR-ELIG	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K041	Pst	terminal_866	fig|316.357.peg.479	X4_SYNTHESISED_AND_TESTED_OUTCOME_UNDETERMINED	CO_REPORTED_AND_TESTED_ONLY (no positive readout recorded locally)		NO	0	0	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	TRAIN_EXPOSED	train	YES	NO	NOT_INDEPENDENT - in the X1 train fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K042	Psp	terminal_864	fig|1938440.3.peg.5997	X2_RTDNA_SEQUENCE_PLUS_FUNCTIONAL_ASSAY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)	0.033586531	YES	69	0.258771136	0.071763175	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	VAL_TEST_EXPOSED	test	YES	NO	NOT_INDEPENDENT - in the X1 val/test fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K043	Psp	terminal_604	fig|1435425.3.peg.787	X3_FUNCTIONAL_ASSAY_ONLY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)	0	NO	0	2.577779501	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	FULLY_EXTERNAL	none	NO	NO	EXTERNAL_BY_SEQUENCE (no exact or near match in any project population)	functional-endpoint external candidate (RT-DNA production / editing) - NOT a compatibility or orthogonality set	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K044	Psp	terminal_1235	fig|1661042.3.peg.2224	X2_RTDNA_SEQUENCE_PLUS_FUNCTIONAL_ASSAY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)	0.089953538	YES	69	0	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	CATALOGUE_ONLY	none	YES	NO	NOT_INDEPENDENT - present in the RT catalogue/corpus, outside PAIR-ELIG	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K045	Psp	terminal_1278	fig|1844092.4.peg.3143	X2b_RTDNA_SEQUENCE_ONLY	CO_REPORTED_AND_TESTED_ONLY (no positive readout recorded locally)	0	YES	59	undetermined	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	CATALOGUE_ONLY	none	YES	NO	NOT_INDEPENDENT - present in the RT catalogue/corpus, outside PAIR-ELIG	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K046	Psp	terminal_1450	fig|1844101.3.peg.4702	X2_RTDNA_SEQUENCE_PLUS_FUNCTIONAL_ASSAY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)	0.804059071	YES	165	0	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	VAL_TEST_EXPOSED	val	YES	NO	NOT_INDEPENDENT - in the X1 val/test fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K047	Ppl	terminal_1336	fig|70775.16.peg.91	X3_FUNCTIONAL_ASSAY_ONLY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)		NO	0	1.662833467	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	SEQUENCE_NEAR_CORPUS	none	NO	NO	NOT_INDEPENDENT - near-sequence match in the corpus	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K048	Phu	terminal_308	fig|1429083.4.peg.2612	X2b_RTDNA_SEQUENCE_ONLY	CO_REPORTED_AND_TESTED_ONLY (no positive readout recorded locally)	0	YES	117	undetermined	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	VAL_TEST_EXPOSED	test	YES	NO	NOT_INDEPENDENT - in the X1 val/test fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K049	Pae	terminal_1453	fig|287.3208.peg.1464	X2_RTDNA_SEQUENCE_PLUS_FUNCTIONAL_ASSAY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)	1.409049692	YES	169	1.694567193	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	VAL_TEST_EXPOSED	val	YES	YES	NOT_INDEPENDENT - in the X1 val/test fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K050	Pae	terminal_1195	fig|287.926.peg.3808	X2_RTDNA_SEQUENCE_PLUS_FUNCTIONAL_ASSAY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)	0.285722494	YES	76	undetermined	0.127147207	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	CATALOGUE_ONLY	none	YES	NO	NOT_INDEPENDENT - present in the RT catalogue/corpus, outside PAIR-ELIG	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K051	Psp	terminal_28	fig|1348393.3.peg.352	X3_FUNCTIONAL_ASSAY_ONLY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)		NO	0	4.639343274	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	TRAIN_EXPOSED	train	YES	NO	NOT_INDEPENDENT - in the X1 train fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K052	Psp	terminal_1265	fig|888433.3.peg.1974	X3_FUNCTIONAL_ASSAY_ONLY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)		NO	0	1.532091204	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	CATALOGUE_ONLY	none	YES	NO	NOT_INDEPENDENT - present in the RT catalogue/corpus, outside PAIR-ELIG	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K053	Psp	terminal_991	fig|1720343.3.peg.3189	X3_FUNCTIONAL_ASSAY_ONLY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)	0	NO	0	0.121904368	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	TRAIN_EXPOSED	train	YES	NO	NOT_INDEPENDENT - in the X1 train fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K054	Pha	terminal_1391	fig|1117315.3.peg.3	X2_RTDNA_SEQUENCE_PLUS_FUNCTIONAL_ASSAY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)	0.66128418	YES	155	0.346383441	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	CATALOGUE_ONLY	none	YES	NO	NOT_INDEPENDENT - present in the RT catalogue/corpus, outside PAIR-ELIG	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K055	Pes	terminal_1000	fig|28107.3.peg.3571	X4_SYNTHESISED_AND_TESTED_OUTCOME_UNDETERMINED	CO_REPORTED_AND_TESTED_ONLY (no positive readout recorded locally)		NO	0	0	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	TRAIN_EXPOSED	train	YES	NO	NOT_INDEPENDENT - in the X1 train fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K056	Phe	terminal_1374	fig|333962.3.peg.2767	X2_RTDNA_SEQUENCE_PLUS_FUNCTIONAL_ASSAY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)	1.087299797	YES	114	undetermined	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	CATALOGUE_ONLY	none	YES	NO	NOT_INDEPENDENT - present in the RT catalogue/corpus, outside PAIR-ELIG	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K057	Pvu	terminal_10	fig|585.10.peg.2369	X3_FUNCTIONAL_ASSAY_ONLY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)		NO	0	0.639257134	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	TRAIN_EXPOSED	train	YES	NO	NOT_INDEPENDENT - in the X1 train fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K058	Pmi	terminal_21	fig|584.202.peg.1668	X4_SYNTHESISED_AND_TESTED_OUTCOME_UNDETERMINED	CO_REPORTED_AND_TESTED_ONLY (no positive readout recorded locally)		NO	0	0	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	TRAIN_EXPOSED	train	YES	NO	NOT_INDEPENDENT - in the X1 train fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K059	Pma	terminal_1648	fig|167547.3.peg.303	X3_FUNCTIONAL_ASSAY_ONLY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)		NO	0	4.63094469	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	TRAIN_EXPOSED	train	YES	NO	NOT_INDEPENDENT - in the X1 train fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K060	Psp	terminal_1513	fig|1947145.3.peg.376	X3_FUNCTIONAL_ASSAY_ONLY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)		NO	0	2.02738369	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	CATALOGUE_ONLY	none	YES	NO	NOT_INDEPENDENT - present in the RT catalogue/corpus, outside PAIR-ELIG	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K061	Pco	terminal_398	fig|1197728.3.peg.2386	X3_FUNCTIONAL_ASSAY_ONLY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)	0.02254987	NO	0	1.273966113	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	TRAIN_EXPOSED	train	YES	NO	NOT_INDEPENDENT - in the X1 train fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K062	Pya	terminal_810	fig|1385514.3.peg.313	X2_RTDNA_SEQUENCE_PLUS_FUNCTIONAL_ASSAY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)	0.053647421	YES	103	0	0.088810994	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	CATALOGUE_ONLY	none	YES	NO	NOT_INDEPENDENT - present in the RT catalogue/corpus, outside PAIR-ELIG	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K063	Psp	terminal_763	fig|1225184.4.peg.1222	X3_FUNCTIONAL_ASSAY_ONLY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)		NO	0	1.131999897	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	VAL_TEST_EXPOSED	test	YES	NO	NOT_INDEPENDENT - in the X1 val/test fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
